year,month,day,time,region,ad,Total_Bytes
2018,3,26,0,fra,1,1192819706880
2018,3,26,1,fra,1,1192818010112
2018,3,26,2,fra,1,1197531134976
2018,3,26,3,fra,1,1197537792512
2018,3,26,4,fra,1,1187541822976
2018,3,26,5,fra,1,1190710404608
2018,3,26,6,fra,1,1190717147136
2018,3,26,7,fra,1,1190680182784
2018,3,26,8,fra,1,1190693622272
2018,3,26,9,fra,1,1194657539072
2018,3,26,10,fra,1,1195793215488
2018,3,26,11,fra,1,1197240713728
2018,3,26,12,fra,1,1197302486528
2018,3,26,13,fra,1,1202254071296
2018,3,26,14,fra,1,1202324997120
2018,3,26,15,fra,1,1201261585408
2018,3,26,16,fra,1,1201269476352
2018,3,26,17,fra,1,1194901050368
2018,3,26,18,fra,1,1200396914176
2018,3,26,19,fra,1,1200410590720
2018,3,26,20,fra,1,1195364315136
2018,3,26,21,fra,1,1195384620544
2018,3,26,22,fra,1,1197606255104
2018,3,26,23,fra,1,1197620097536
2018,3,27,0,fra,1,1198665504768
2018,3,27,1,fra,1,1198673291776
2018,3,27,2,fra,1,1197276724224
2018,3,27,3,fra,1,1197291041280
2018,3,27,4,fra,1,1194402187264
2018,3,27,5,fra,1,1194417952768
2018,3,27,6,fra,1,1195509106688
2018,3,27,7,fra,1,1200668950016
2018,3,27,8,fra,1,1200676208640
2018,3,27,9,fra,1,1201415771648
2018,3,27,10,fra,1,1201423944704
2018,3,27,11,fra,1,1196106071552
2018,3,27,12,fra,1,1196119628288
2018,3,27,13,fra,1,1197088559616
2018,3,27,14,fra,1,1197100272640
2018,3,27,15,fra,1,1200331274752
2018,3,27,16,fra,1,1200343313408
2018,3,27,17,fra,1,1202345327616
2018,3,27,18,fra,1,1202355630592
2018,3,27,19,fra,1,1195494726144
2018,3,27,20,fra,1,1201565436928
2018,3,27,21,fra,1,1201574975488
2018,3,27,22,fra,1,1197580762624
2018,3,27,23,fra,1,1197608737792
2018,3,28,0,fra,1,1200843357184
2018,3,28,1,fra,1,1200846028288
2018,3,28,2,fra,1,1195989934080
2018,3,28,3,fra,1,1195996313600
2018,3,28,4,fra,1,1197996905472
2018,3,28,5,fra,1,1198013875200
2018,3,28,6,fra,1,1200556592640
2018,3,28,7,fra,1,1200565902336
2018,3,28,8,fra,1,1201538366976
2018,3,28,9,fra,1,1202959529984
2018,3,28,10,fra,1,1202971683840
2018,3,28,11,fra,1,1199499524096
2018,3,28,12,fra,1,1199516767232
2018,3,28,13,fra,1,1193563336704
2018,3,28,14,fra,1,1193647209472
2018,3,28,15,fra,1,1197855873536
2018,3,28,16,fra,1,1197870918144
2018,3,28,17,fra,1,1202609266688
2018,3,28,18,fra,1,1202623778816
2018,3,28,19,fra,1,1199589278208
2018,3,28,20,fra,1,1199602807808
2018,3,28,21,fra,1,1201001426432
2018,3,28,22,fra,1,1202557255168
2018,3,28,23,fra,1,1202584009216
2018,3,29,0,fra,1,1207219245056
2018,3,29,1,fra,1,1207225721344
2018,3,29,2,fra,1,1200880635392
2018,3,29,3,fra,1,1200891970560
2018,3,29,4,fra,1,1199221372416
2018,3,29,5,fra,1,1199242250752
2018,3,29,6,fra,1,1198427749376
2018,3,29,7,fra,1,1198445727744
2018,3,29,8,fra,1,1198581514240
2018,3,29,9,fra,1,1198595773440
2018,3,29,10,fra,1,1198507591680
2018,3,29,11,fra,1,1198966752256
2018,3,29,12,fra,1,1198985610240
2018,3,29,13,fra,1,1203551354880
2018,3,29,14,fra,1,1203610893312
2018,3,29,15,fra,1,1200822003200
2018,3,29,16,fra,1,1202278196736
2018,3,29,17,fra,1,1202214520320
2018,3,29,18,fra,1,1202414066176
2018,3,29,19,fra,1,1203110796288
2018,3,29,20,fra,1,1203355975168
2018,3,29,21,fra,1,1201317154816
2018,3,29,22,fra,1,1201565741568
2018,3,29,23,fra,1,1199111854080
2018,3,30,0,fra,1,1199337854464
2018,3,30,1,fra,1,1182050341888
2018,3,30,2,fra,1,1199280814592
2018,3,30,3,fra,1,1199503038464
2018,3,30,4,fra,1,1193516548096
2018,3,30,5,fra,1,1193752198144
2018,3,30,6,fra,1,1196577722368
2018,3,30,7,fra,1,1196785033216
2018,3,30,8,fra,1,1198489746944
2018,3,30,9,fra,1,1198700717568
2018,3,30,10,fra,1,1202578168832
2018,3,30,11,fra,1,1202798689280
2018,3,30,12,fra,1,1209205832704
2018,3,30,13,fra,1,1210709378048
2018,3,30,14,fra,1,1198638438912
2018,3,30,15,fra,1,1208562276864
2018,3,30,16,fra,1,1208808988672
2018,3,30,17,fra,1,1207582922752
2018,3,30,18,fra,1,1207756550144
2018,3,30,19,fra,1,1201208974336
2018,3,30,20,fra,1,1201434499072
2018,3,30,21,fra,1,1201005242880
2018,3,30,22,fra,1,1201231312896
2018,3,30,23,fra,1,1209770655232
2018,3,31,0,fra,1,1210010448384
2018,3,31,1,fra,1,1205569045504
2018,3,31,2,fra,1,1205824667648
2018,3,31,3,fra,1,1195869574656
2018,3,31,4,fra,1,1201021900800
2018,3,31,5,fra,1,1201241330688
2018,3,31,6,fra,1,1204839057408
2018,3,31,7,fra,1,1205053005312
2018,3,31,8,fra,1,1210387411968
2018,3,31,9,fra,1,1210631482880
2018,3,31,10,fra,1,1215100541440
2018,3,31,11,fra,1,1215352238592
2018,3,31,12,fra,1,1211003852288
2018,3,31,13,fra,1,1211222065152
2018,3,31,14,fra,1,1209576713728
2018,3,31,15,fra,1,1209831761408
2018,3,31,16,fra,1,1203930785280
2018,3,31,17,fra,1,1207482843648
2018,3,31,18,fra,1,1207710148096
2018,3,31,19,fra,1,1209752381952
